1,傘
1,馬
1,猫
1,犬
1,魚
1,牛
1,猿
1,嵐
1,車
2,ゾウ
2,相撲
2,歌手
2,料理
2,釣り
2,水泳
2,電車
2,タコ
2,DJ
2,演奏
2,ハト
2,野球
2,弓道
2,太鼓
2,焚火
2,電話
2,掃除
2,洗濯
2,読書
2,カメ
2,ヘビ
2,サイ
2,クマ
2,ブタ
2,ヤギ
2,カニ
2,ワニ
2,永野
2,弓道
2,釣り
2,電話
2,ハト
2,タコ
2,卓球
2,勉強
2,逮捕
2,闘牛
2,眼鏡
2,裁縫
2,占い
2,行進
2,化粧
3,モデル
3,美容師
3,飛行機
3,五条悟
3,孫悟空
3,ギター
3,トトロ
3,縄跳び
3,うさぎ
3,指揮者
3,ルフィ
3,テニス
3,吹奏楽
3,カヌー
3,雪合戦
3,自転車
3,ピアノ
3,ウマ娘
3,ゴジラ
3,瓦割り
3,消防士
3,手洗い
3,うがい
3,着替え
3,歯磨き
3,コアラ
3,キリン
3,たぬき
3,アヒル
3,カエル
3,ゴリラ
3,マリオ
3,バイク
3,雪合戦
3,モデル
3,ギター
3,キリン
3,ゴリラ
3,お手玉
3,編み物
3,餅つき
3,盆踊り
3,類人猿
3,裁判長
3,木こり
3,窓拭き
3,オタ芸
3,おばけ
3,壁ドン
3,桃太郎
3,金太郎
3,歌舞伎
3,虫取り
3,平泳ぎ
4,ぱっちぃ
4,金八先生
4,ドラマー
4,円盤投げ
4,猫ミーム
4,サッカー
4,志村けん
4,ラッパー
4,星野アイ
4,初音ミク
4,体操選手
4,寿司職人
4,ニワトリ
4,ラグビー
4,酔っ払い
4,くしゃみ
4,スキップ
4,パソコン
4,霹靂一閃
4,ライオン
4,フクロウ
4,オオカミ
4,クワガタ
4,ペンギン
4,カービィ
4,ロボット
4,酔っ払い
4,くしゃみ
4,霹靂一閃
4,ペンギン
4,大縄跳び
4,日本舞踊
4,あやとり
4,ヤンキー
4,平野ノラ
4,ソムリエ
4,林修先生
4,交通警備
4,肩たたき
4,浦島太郎
4,正岡子規
4,レジ打ち
4,カマキリ
4,阿波踊り
5,プリンセス
5,自動販売機
5,ドラえもん
5,ボーリング
5,小島よしお
5,フラダンス
5,竈門炭治郎
5,ボクシング
5,クロちゃん
5,マッシュル
5,プリキュア
5,デヴィ夫人
5,ムスカ大佐
5,サーフィン
5,バイオリン
5,ジャンケン
5,レジギガス
5,ハムスター
5,カンガルー
5,ナマケモノ
5,チーム友達
5,ボーリング
5,金魚すくい
5,天気予報し
5,サザエさん
5,EXILE
5,コイントス
5,モナ・リザ
5,北斗百裂拳
5,ふなっしー
5,モグラ叩き
5,カウボーイ
5,フラフープ
5,フラメンコ
5,カズダンス
6,アーチェリー
6,ジョジョ立ち
6,バレーボール
6,バドミントン
6,江戸川コナン
6,アンパンマン
6,ヘリコプター
6,バレーボール
6,タップダンス
6,ビートたけし
6,アラレちゃん
6,コンビニ店員
6,ウェイトレス
6,バーテンダー
6,ハンドパワー
6,江南スタイル
6,ウルトラマン
7,ブルゾンちえみ
7,ドンキーコング
7,オードリー春日
7,セイキンダンス
7,エスカレーター
7,かき氷を食べる
7,ゴイゴイスー!
7,マスターハンド
7,マルモリダンス
7,花咲かじいさん
7,スパイダーマン
7,コサックダンス
8,バスケットボール
8,サンシャイン池崎
4,TikToker
8,バスケットボール
8,懐中電灯を照らす
8,紙飛行機を飛ばす
8,カーネルおじさん
8,トリケラトプス拳
8,厚切りジェイソン
9,なかやまきんにくん
9,とにかく明るい安村
9,うさぎ(ちいかわ)
9,ステーキを食べる人
9,ニュースキャスター
9,レイザーラモンHG
10,キキ(魔女の宅急便)
11,アリエル(ディズニー)
11,ドナルド・マクドナルド
